candidate,rmse_mg_L,interpretability_cost,optional_keep_probability
65,5.759238091468184,12.763201679475559,0.16071117280206076
66,4.232794275465604,26.809414482531295,0.4151545195603131
67,6.621723212516456,12.825780808862643,0.1339182436968048
68,2.9567882830917998,35.83117086952898,0.9680819818336901
69,3.5525834900093796,25.806576643932676,0.6714076861437163
70,4.297802044902817,25.869599715914056,0.7070792758011455
71,3.233529928039278,34.78185676554326,0.9432393811292926
72,4.179188970695881,25.80695841969435,0.6773535246799347
73,3.12667054145775,34.817802252461355,0.8540795199666851
74,2.9796443617177872,36.84268694587438,0.9748779272266657
75,4.41681664549044,21.80110866446314,0.3594226802964392
76,5.512407936607139,13.786443058289287,0.20354787501455418
77,5.734093668367505,16.873628371298825,0.3294270909101434
78,5.196126487798123,18.867487092600935,0.4235805273683822
79,3.162722246236771,33.819517051021236,0.9218567015134189
80,5.575230885343562,16.826436597267165,0.45114487107879525
81,4.010345819310802,22.810769308252432,0.5070988945490994
82,6.613068809845356,26.779660457215908,0.586832679651984
83,3.079444842837087,36.78847613033167,0.9136928473690356
84,5.042632079045639,18.834072285547556,0.2274140121379814
85,6.567798622496974,13.78146060640108,0.15181522044514492
86,5.385864432575326,12.825634633262785,0.11389527236001673
87,5.559545425940451,14.846892806204004,0.14765976408184195
88,2.949597088016517,36.81487419524508,0.9535676176392578
89,3.4828057105213146,29.83318814384127,0.8816169633989918
90,3.3135594633769623,34.75592667835366,0.9087119786833043
91,2.9423941905806483,36.81708990022697,0.9358223778142565
92,3.7215359161037194,30.780875642712285,0.7271599273690874
93,3.8110737228746925,26.810471199231166,0.5348579704578237
94,3.8860487251892075,26.755192511078413,0.6331832357680234
95,5.38267872669172,15.79364321926041,0.23636456415351081
96,3.729371327123968,33.801336020736635,0.8511285118924776
97,5.072246358742654,18.82725510390117,0.22507233059944814
98,3.210615111321762,33.75673746302575,0.9208340860665973
99,2.9483074145308925,36.797679491442565,0.9962635835889578
100,4.478522367314826,29.785725586291523,0.5922325095696259
101,6.281445981154908,13.826769766441721,0.1645173001584399
102,4.260724250946884,23.796058039432662,0.4579625974441966
103,5.923898130670045,11.780387494597257,0.1255414110636663
104,2.9189951051755068,33.818178949452246,0.9410844246687183
105,5.168606692695779,15.811129081369016,0.11964730408861339
106,4.876386319710881,17.793907210976617,0.192998210765415
107,6.4119049367504815,10.799799366691545,0.09153568648311175
108,4.272773279524368,26.818800805565665,0.5939696229893786
109,3.2362279007509422,33.84486784080233,0.7874711365210041
110,3.056168778300337,36.76461497690006,0.994432459330885
111,4.356564105587102,26.846850441932727,0.5399413271184806
112,3.0155827557170305,34.80076803161523,0.9648247761650788
113,4.208580559167024,24.78200812649819,0.45449278801613147
114,3.280673277696258,32.865199564219566,0.9266880597772146
115,6.074431216646979,10.774359745724622,0.059867048902341985
116,5.0729053202460666,21.82253898325629,0.5528690578247939
117,4.490345732720439,19.82703100170861,0.5464688143650847
118,3.311223422460726,31.81728104402094,0.7544842220945515
119,7.122282325284269,10.819722246221607,0.17144632705458285
120,3.786703085363456,30.839723826110497,0.823040416553258
121,2.932288929946406,36.82661025044056,0.896910365252416
